vox_i#geo_i#vox_vec#geo_vec#vox_rad#geo_rad#geo_s.hr#sun_hit
0#95#[0.0, -0.0, -1.0]#[-0.632456, 0.258199, -0.730297]#288.9216952565805#69.99450317666195#0.5#1.0
1#43#[0.0, -0.0, 1.0]#[0.707107, -0.57735, 0.408248]#1499.6471288144542#1439.8095612479076#3259#0.154
1#44#[0.0, -0.0, 1.0]#[-0.0, 0.57735, 0.816496]#1499.6471288144542#893.5336508947826#3158#0.154
1#45#[0.0, -0.0, 1.0]#[0.0, 0.57735, 0.816496]#1499.6471288144542#893.5336468004924#3158#0.154
1#46#[0.0, -0.0, 1.0]#[0.0, 0.57735, 0.816497]#1499.6471288144542#893.5339588617859#3158#0.385
1#47#[0.0, -0.0, 1.0]#[0.0, 0.57735, 0.816496]#1499.6471288144542#893.5336340919919#3158#0.385
1#48#[0.0, -0.0, 1.0]#[0.0, 0.57735, 0.816497]#1499.6471288144542#893.5339983069894#3158#0.154
1#49#[0.0, -0.0, 1.0]#[0.0, 0.57735, 0.816497]#1499.6471288144542#893.5340081682882#3158#0.0
1#50#[0.0, -0.0, 1.0]#[0.0, 0.57735, 0.816497]#1499.6471288144542#893.5339983069892#3158#0.385
1#51#[0.0, -0.0, 1.0]#[0.0, 0.57735, 0.816497]#1499.6471288144542#893.5339983069892#3158#0.154
1#52#[0.0, -0.0, 1.0]#[0.0, 0.57735, 0.816497]#1499.6471288144542#893.5338740306729#3158#0.385
1#53#[0.0, -0.0, 1.0]#[0.0, 0.57735, 0.816497]#1499.6471288144542#893.5339983069894#3158#0.154
1#54#[0.0, -0.0, 1.0]#[-0.0, 0.57735, 0.816496]#1499.6471288144542#893.5337357258687#3158#0.385
1#55#[0.0, -0.0, 1.0]#[-0.0, 0.57735, 0.816496]#1499.6471288144542#893.5336508948155#3158#0.154
1#77#[0.0, -0.0, 1.0]#[-0.707107, -0.57735, 0.408248]#1499.6471288144542#1486.951502377057#3254#0.154
1#96#[0.0, -0.0, 1.0]#[-0.632456, -0.258199, 0.730297]#1499.6471288144542#173.9206719143087#17#1.0
1#97#[0.0, -0.0, 1.0]#[-0.632455, -0.258199, 0.730297]#1499.6471288144542#290.9129954785725#177#0.923
1#98#[0.0, -0.0, 1.0]#[-0.632456, -0.258199, 0.730297]#1499.6471288144542#47.159692378585994#0.5#1.0
1#100#[0.0, -0.0, 1.0]#[0.632456, -0.258199, 0.730297]#1499.6471288144542#274.6876384350631#170#0.923
