vox_i#geo_i#vox_vec#geo_vec#vox_rad#geo_rad#geo_s.hr#sun_hit
1#99#[0.0, -0.0, 1.0]#[0.231495, -0.133654, 0.963611]#1499.6471288144542#87.22663960140127#315#0.846
2#17#[0.0, -1.0, 0.0]#[-0.0, -0.816496, -0.57735]#1260.2222016236892#628.5121952441782#2057#0.615
2#19#[0.0, -1.0, 0.0]#[-0.0, -0.816497, -0.57735]#1260.2222016236892#628.5121974438134#2057#0.615
2#20#[0.0, -1.0, 0.0]#[0.0, -0.816497, -0.57735]#1260.2222016236892#628.5122268282041#2057#0.615
2#21#[0.0, -1.0, 0.0]#[-0.0, -0.816497, -0.57735]#1260.2222016236892#628.5122506306892#2057#0.615
2#22#[0.0, -1.0, 0.0]#[-0.0, -0.816497, -0.57735]#1260.2222016236892#628.5122616333675#2057#0.615
2#23#[0.0, -1.0, 0.0]#[0.0, -0.816497, -0.57735]#1260.2222016236892#628.5124404504382#2057#0.615
2#25#[0.0, -1.0, 0.0]#[-0.0, -0.816497, -0.57735]#1260.2222016236892#628.5121894029783#2057#0.615
2#27#[0.0, -1.0, 0.0]#[0.0, -0.816497, -0.57735]#1260.2222016236892#628.5124308289794#2057#0.615
2#82#[0.0, -1.0, 0.0]#[0.258819, -0.557678, 0.788675]#1260.2222016236892#1749.0969031679729#4011#0.077
2#83#[0.0, -1.0, 0.0]#[0.258819, -0.557678, 0.788675]#1260.2222016236892#1749.0968145442237#4011#0.077
2#86#[0.0, -1.0, 0.0]#[0.258819, -0.557678, 0.788675]#1260.2222016236892#1749.0969084966064#4011#0.077
2#87#[0.0, -1.0, 0.0]#[0.258819, -0.557678, 0.788675]#1260.2222016236892#1749.0968972876506#4011#0.077
2#94#[0.0, -1.0, 0.0]#[-0.86395, -0.498802, -0.069184]#1260.2222016236892#128.6514225735138#0.5#1.0
3#28#[1.0, 0.0, -0.0]#[0.965926, 0.149429, -0.211325]#878.6190450995301#703.5489895763011#1784#0.615
3#29#[1.0, 0.0, -0.0]#[0.965926, 0.149429, -0.211325]#878.6190450995301#703.5490670155586#1784#0.538
3#30#[1.0, 0.0, -0.0]#[0.965926, 0.149429, -0.211325]#878.6190450995301#703.5490721500435#1784#0.615
3#31#[1.0, 0.0, -0.0]#[0.965926, 0.149429, -0.211325]#878.6190450995301#703.5490059073036#1784#0.538
3#32#[1.0, 0.0, -0.0]#[0.965926, 0.149429, -0.211325]#878.6190450995301#703.5491744154939#1784#0.538
3#33#[1.0, 0.0, -0.0]#[0.965926, 0.149429, -0.211325]#878.6190450995301#703.5490115789764#1784#0.462
3#34#[1.0, 0.0, -0.0]#[0.965926, 0.149429, -0.211325]#878.6190450995301#703.5490774267624#1784#0.538
3#35#[1.0, 0.0, -0.0]#[0.965926, 0.149429, -0.211325]#878.6190450995301#703.5491027732204#1784#0.462
3#36#[1.0, 0.0, -0.0]#[0.965926, 0.149429, -0.211325]#878.6190450995301#703.5489757204057#1784#0.615
3#37#[1.0, 0.0, -0.0]#[0.965926, 0.149429, -0.211325]#878.6190450995301#703.549070670982#1784#0.538
3#38#[1.0, 0.0, -0.0]#[0.965926, 0.149429, -0.211325]#878.6190450995301#703.5489813224016#1784#0.538
3#39#[1.0, 0.0, -0.0]#[0.965926, 0.149429, -0.211325]#878.6190450995301#703.5491205272966#1784#0.538
3#40#[1.0, 0.0, -0.0]#[0.965926, 0.149429, -0.211325]#878.6190450995301#703.5490551188398#1784#0.538
